Column,ID #1,Type,QuestionText,AnswerText
40,ActivationEthics_Quartile,S,ActivationEthics_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Ethics'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
41,ActivationPurpose,F,ActivationPurpose: Continuous score (0-1) reflecting the emotional activation for the need 'Purpose'. Measures the level and valence of emotional engagement with this need.,
42,ActivationPurpose_Quartile,S,ActivationPurpose_Quartile: Continuous score (0-1) reflecting the emotional activation for the need 'Purpose'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
43,ActivationFoundationalPromotion,F,ActivationFoundationalPromotion: Mean promotion activation score (0-1) across Foundational-level needs.,
44,ActivationFoundationalPromotion_Quartile,S,ActivationFoundationalPromotion_Quartile: Mean promotion activation score (0-1) across Foundational-level needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
45,ActivationExperientialPromotion,F,ActivationExperientialPromotion: Mean promotion activation score (0-1) across Experiential-level needs.,
46,ActivationExperientialPromotion_Quartile,S,ActivationExperientialPromotion_Quartile: Mean promotion activation score (0-1) across Experiential-level needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
47,ActivationAspirationalPromotion,F,ActivationAspirationalPromotion: Mean promotion activation score (0-1) across Aspirational-level needs.,
48,ActivationAspirationalPromotion_Quartile,S,ActivationAspirationalPromotion_Quartile: Mean promotion activation score (0-1) across Aspirational-level needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
49,ActivationSelfPromotion,F,ActivationSelfPromotion: Mean promotion activation score (0-1) across Self-domain needs.,
50,ActivationSelfPromotion_Quartile,S,ActivationSelfPromotion_Quartile: Mean promotion activation score (0-1) across Self-domain needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
51,ActivationMaterialPromotion,F,ActivationMaterialPromotion: Mean promotion activation score (0-1) across Material-domain needs.,
52,ActivationMaterialPromotion_Quartile,S,ActivationMaterialPromotion_Quartile: Mean promotion activation score (0-1) across Material-domain needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
53,ActivationSocialPromotion,F,ActivationSocialPromotion: Mean promotion activation score (0-1) across Social-domain needs.,
54,ActivationSocialPromotion_Quartile,S,ActivationSocialPromotion_Quartile: Mean promotion activation score (0-1) across Social-domain needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
55,ActivationSpiritualPromotion,F,ActivationSpiritualPromotion: Mean promotion activation score (0-1) across Spiritual-domain needs.,
56,ActivationSpiritualPromotion_Quartile,S,ActivationSpiritualPromotion_Quartile: Mean promotion activation score (0-1) across Spiritual-domain needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
57,ActivationSafetyPromotion,F,ActivationSafetyPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Safety'. Measures the level and valence of emotional engagement with this need.,
58,ActivationSafetyPromotion_Quartile,S,ActivationSafetyPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Safety'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
59,ActivationAuthenticityPromotion,F,ActivationAuthenticityPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Authenticity'. Measures the level and valence of emotional engagement with this need.,
60,ActivationAuthenticityPromotion_Quartile,S,ActivationAuthenticityPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Authenticity'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
61,ActivationPotentialPromotion,F,ActivationPotentialPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Potential'. Measures the level and valence of emotional engagement with this need.,
62,ActivationPotentialPromotion_Quartile,S,ActivationPotentialPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Potential'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
63,ActivationAutonomyPromotion,F,ActivationAutonomyPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Autonomy'. Measures the level and valence of emotional engagement with this need.,
64,ActivationAutonomyPromotion_Quartile,S,ActivationAutonomyPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Autonomy'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
65,ActivationImmersionPromotion,F,ActivationImmersionPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Immersion'. Measures the level and valence of emotional engagement with this need.,
66,ActivationImmersionPromotion_Quartile,S,ActivationImmersionPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Immersion'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
67,ActivationSuccessPromotion,F,ActivationSuccessPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Success'. Measures the level and valence of emotional engagement with this need.,
68,ActivationSuccessPromotion_Quartile,S,ActivationSuccessPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Success'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
69,ActivationInclusionPromotion,F,ActivationInclusionPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Inclusion'. Measures the level and valence of emotional engagement with this need.,
70,ActivationInclusionPromotion_Quartile,S,ActivationInclusionPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Inclusion'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
71,ActivationCaringPromotion,F,ActivationCaringPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Caring'. Measures the level and valence of emotional engagement with this need.,
72,ActivationCaringPromotion_Quartile,S,ActivationCaringPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Caring'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
73,ActivationRecognitionPromotion,F,ActivationRecognitionPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Recognition'. Measures the level and valence of emotional engagement with this need.,
74,ActivationRecognitionPromotion_Quartile,S,ActivationRecognitionPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Recognition'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
75,ActivationJusticePromotion,F,ActivationJusticePromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Justice'. Measures the level and valence of emotional engagement with this need.,
76,ActivationJusticePromotion_Quartile,S,ActivationJusticePromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Justice'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
77,ActivationEthicsPromotion,F,ActivationEthicsPromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Ethics'. Measures the level and valence of emotional engagement with this need.,
78,ActivationEthicsPromotion_Quartile,S,ActivationEthicsPromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Ethics'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
79,ActivationPurposePromotion,F,ActivationPurposePromotion: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Purpose'. Measures the level and valence of emotional engagement with this need.,
80,ActivationPurposePromotion_Quartile,S,ActivationPurposePromotion_Quartile: Continuous score (0-1) reflecting the emotional activation (promotion) for the need 'Purpose'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
81,ActivationFoundationalPrevention,F,ActivationFoundationalPrevention: Mean prevention activation score (0-1) across Foundational-level needs.,
82,ActivationFoundationalPrevention_Quartile,S,ActivationFoundationalPrevention_Quartile: Mean prevention activation score (0-1) across Foundational-level needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
83,ActivationExperientialPrevention,F,ActivationExperientialPrevention: Mean prevention activation score (0-1) across Experiential-level needs.,
84,ActivationExperientialPrevention_Quartile,S,ActivationExperientialPrevention_Quartile: Mean prevention activation score (0-1) across Experiential-level needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
85,ActivationAspirationalPrevention,F,ActivationAspirationalPrevention: Mean prevention activation score (0-1) across Aspirational-level needs.,
86,ActivationAspirationalPrevention_Quartile,S,ActivationAspirationalPrevention_Quartile: Mean prevention activation score (0-1) across Aspirational-level needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
87,ActivationSelfPrevention,F,ActivationSelfPrevention: Mean prevention activation score (0-1) across Self-domain needs.,
88,ActivationSelfPrevention_Quartile,S,ActivationSelfPrevention_Quartile: Mean prevention activation score (0-1) across Self-domain needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
89,ActivationMaterialPrevention,F,ActivationMaterialPrevention: Mean prevention activation score (0-1) across Material-domain needs.,
90,ActivationMaterialPrevention_Quartile,S,ActivationMaterialPrevention_Quartile: Mean prevention activation score (0-1) across Material-domain needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
91,ActivationSocialPrevention,F,ActivationSocialPrevention: Mean prevention activation score (0-1) across Social-domain needs.,
92,ActivationSocialPrevention_Quartile,S,ActivationSocialPrevention_Quartile: Mean prevention activation score (0-1) across Social-domain needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
93,ActivationSpiritualPrevention,F,ActivationSpiritualPrevention: Mean prevention activation score (0-1) across Spiritual-domain needs.,
94,ActivationSpiritualPrevention_Quartile,S,ActivationSpiritualPrevention_Quartile: Mean prevention activation score (0-1) across Spiritual-domain needs.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
95,ActivationSafetyPrevention,F,ActivationSafetyPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Safety'. Measures the level and valence of emotional engagement with this need.,
96,ActivationSafetyPrevention_Quartile,S,ActivationSafetyPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Safety'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
97,ActivationAuthenticityPrevention,F,ActivationAuthenticityPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Authenticity'. Measures the level and valence of emotional engagement with this need.,
98,ActivationAuthenticityPrevention_Quartile,S,ActivationAuthenticityPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Authenticity'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
99,ActivationPotentialPrevention,F,ActivationPotentialPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Potential'. Measures the level and valence of emotional engagement with this need.,
100,ActivationPotentialPrevention_Quartile,S,ActivationPotentialPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Potential'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
101,ActivationAutonomyPrevention,F,ActivationAutonomyPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Autonomy'. Measures the level and valence of emotional engagement with this need.,
102,ActivationAutonomyPrevention_Quartile,S,ActivationAutonomyPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Autonomy'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
103,ActivationImmersionPrevention,F,ActivationImmersionPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Immersion'. Measures the level and valence of emotional engagement with this need.,
104,ActivationImmersionPrevention_Quartile,S,ActivationImmersionPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Immersion'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
105,ActivationSuccessPrevention,F,ActivationSuccessPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Success'. Measures the level and valence of emotional engagement with this need.,
106,ActivationSuccessPrevention_Quartile,S,ActivationSuccessPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Success'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
107,ActivationInclusionPrevention,F,ActivationInclusionPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Inclusion'. Measures the level and valence of emotional engagement with this need.,
108,ActivationInclusionPrevention_Quartile,S,ActivationInclusionPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Inclusion'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
109,ActivationCaringPrevention,F,ActivationCaringPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Caring'. Measures the level and valence of emotional engagement with this need.,
110,ActivationCaringPrevention_Quartile,S,ActivationCaringPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Caring'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
111,ActivationRecognitionPrevention,F,ActivationRecognitionPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Recognition'. Measures the level and valence of emotional engagement with this need.,
112,ActivationRecognitionPrevention_Quartile,S,ActivationRecognitionPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Recognition'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
113,ActivationJusticePrevention,F,ActivationJusticePrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Justice'. Measures the level and valence of emotional engagement with this need.,
114,ActivationJusticePrevention_Quartile,S,ActivationJusticePrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Justice'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
115,ActivationEthicsPrevention,F,ActivationEthicsPrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Ethics'. Measures the level and valence of emotional engagement with this need.,
116,ActivationEthicsPrevention_Quartile,S,ActivationEthicsPrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Ethics'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
117,ActivationPurposePrevention,F,ActivationPurposePrevention: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Purpose'. Measures the level and valence of emotional engagement with this need.,
118,ActivationPurposePrevention_Quartile,S,ActivationPurposePrevention_Quartile: Continuous score (0-1) reflecting the emotional activation (prevention) for the need 'Purpose'. Measures the level and valence of emotional engagement with this need.,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
119,PromotionIndexOverall,F,PromotionIndexOverall: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across All 12 needs. Indicates net positive engagement (0-1).,
120,PromotionIndexOverall_Quartile,S,PromotionIndexOverall_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across All 12 needs. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
121,PromotionIndexFoundational,F,PromotionIndexFoundational: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Foundational-level needs. Indicates net positive engagement (0-1).,
122,PromotionIndexFoundational_Quartile,S,PromotionIndexFoundational_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Foundational-level needs. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
123,PromotionIndexExperiential,F,PromotionIndexExperiential: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Experiential-level needs. Indicates net positive engagement (0-1).,
124,PromotionIndexExperiential_Quartile,S,PromotionIndexExperiential_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Experiential-level needs. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
125,PromotionIndexAspirational,F,PromotionIndexAspirational: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Aspirational-level needs. Indicates net positive engagement (0-1).,
126,PromotionIndexAspirational_Quartile,S,PromotionIndexAspirational_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Aspirational-level needs. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
127,PromotionIndexSelf,F,PromotionIndexSelf: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Self domain. Indicates net positive engagement (0-1).,
128,PromotionIndexSelf_Quartile,S,PromotionIndexSelf_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Self domain. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
129,PromotionIndexMaterial,F,PromotionIndexMaterial: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Material domain. Indicates net positive engagement (0-1).,
130,PromotionIndexMaterial_Quartile,S,PromotionIndexMaterial_Quartile: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Material domain. Indicates net positive engagement (0-1).,1st Quartile Group (Bottom 25%)^2nd Quartile Group^3rd Quartile Group^4th Quartile Group (Top 25%)
131,PromotionIndexSocial,F,PromotionIndexSocial: Ratio of positive motivational energy: Promotion / (Promotion + Prevention) across Social domain. Indicates net positive engagement (0-1).,
